Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNet,123,10,0.5747217806041336,0.6666666666666666,0.4,0.0,0.8,0.4000000000000001,0.35,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\ResNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNet,2026,10,0.5747217806041336,0.75,0.65,0.5,0.8,0.6210526315789474,0.5,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\ResNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNetAE,42,10,0.604133545310016,0.5833333333333334,0.35,0.0,0.7,0.36842105263157887,0.35,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\ResNetAE\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNetAE,123,10,0.604133545310016,0.5,0.5,0.5,0.5,0.4375,0.75,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\ResNetAE\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNetAE,2026,10,0.604133545310016,0.5833333333333334,0.55,0.5,0.6,0.4957983193277311,0.55,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\ResNetAE\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MobileNet,42,10,0.5453100158982512,0.5,0.3,0.0,0.6,0.33333333333333326,0.09999999999999998,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\MobileNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MobileNet,123,10,0.5453100158982512,0.5,0.3,0.0,0.6,0.33333333333333326,0.09999999999999998,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\MobileNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MobileNet,2026,10,0.5453100158982512,0.75,0.45,0.0,0.9,0.4285714285714286,0.04999999999999999,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\MobileNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,SqueezeNet,42,10,0.5206677265500795,0.5,0.3,0.0,0.6,0.33333333333333326,0.14999999999999997,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\SqueezeNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,SqueezeNet,123,10,0.5206677265500795,0.5,0.3,0.0,0.6,0.33333333333333326,0.3,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\SqueezeNet\seed_123
