Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MLP,10,6,0.8657826491167979,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNet,10,9,0.6541811420462886,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,ResNetAE,10,9,0.6594167441405294,"{""batch_size"": 32, ""dropout"": 0.12982025747190834, ""lr"": 0.0003364867144187955, ""recon_weight"": 0.19229567074543377, ""weight_decay"": 1.329652145729951e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MobileNet,10,2,0.6652150511327494,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SqueezeNet,10,3,0.5523315555120615,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,SVM,10,1,0.8004434589800444,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,MLP,10,2,0.8431263858093127,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,ResNet,10,3,0.676219512195122,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,ResNetAE,10,3,0.6541019955654102,"{""batch_size"": 32, ""dropout"": 0.1798695128633439, ""lr"": 0.000160712385120399, ""recon_weight"": 0.04666963767236924, ""weight_decay"": 1.4742753159914662e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,MobileNet,10,8,0.6732261640798226,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,SqueezeNet,10,0,0.5,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,SVM,10,9,0.5373608903020668,"{""C"": 0.030771802712506867, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,MLP,10,6,0.5500794912559619,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,ResNet,10,0,0.5930047694753577,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,ResNetAE,10,4,0.5882352941176471,"{""batch_size"": 8, ""dropout"": 0.4795542149013333, ""lr"": 0.000750011895041699, ""recon_weight"": 0.18043311207136256, ""weight_decay"": 1.5339162591163623e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,MobileNet,10,0,0.5588235294117647,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,SqueezeNet,10,2,0.5476947535771065,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,SVM,10,0,0.5,"{""C"": 2.481040974867813, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,MLP,10,0,0.6699134199134199,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,ResNet,10,2,0.5454545454545454,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,ResNetAE,10,7,0.5454545454545454,"{""batch_size"": 16, ""dropout"": 0.3391599915244341, ""lr"": 0.00018752209455786411, ""recon_weight"": 0.15826541904647565, ""weight_decay"": 0.00755681014127443}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,MobileNet,10,7,0.5670995670995671,"{""batch_size"": 16, ""dropout"": 0.3080272084711243, ""lr"": 0.00011240768803005555, ""weight_decay"": 0.004337920697490943}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\MobileNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,SqueezeNet,10,3,0.5,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,left,SVM,10,2,0.8508658008658009,"{""C"": 75.7947995334801, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\left\SVM
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,left,MLP,10,9,0.9073593073593074,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,left,ResNet,10,0,0.673953823953824,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\left\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,left,ResNetAE,10,0,0.685064935064935,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""recon_weight"": 0.011900590783184251, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\left\ResNetAE
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,left,MobileNet,10,0,0.6906204906204906,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\left\MobileNet
